"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y";"NA";"NA"
"90033";"1030";"5";"1";"AFONSO PENA, AVE";"3328";7;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;11;"-19.9401169787509";"-43.92570373225587";"612424.53";"7794785.85";11;"1030-90033"
"90034";"1030";"5";"1";"AFONSO PENA, AVE";"3577";16;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;"-19.9417782732427";"-43.92439715658";"612560.1";"7794601.11";4;"1030-90034"
"90035";"1030";"5";"1";"AFONSO PENA, AVE";"3629";15;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;5;4;0;0;0;0;0;12;"-19.9424047404589";"-43.923999917393";"612601.23";"7794531.51";12;"1030-90035"
"90036";"1030";"5";"1";"AFONSO PENA, AVE";"3678";8;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;5;"-19.9428037643043";"-43.9240321856615";"612597.57";"7794487.37";5;"1030-90036"
"90037";"1030";"5";"1";"AFONSO PENA, AVE";"3877";14;0;0;0;0;0;0;2;3;2;0;0;0;0;0;0;0;9;13;4;0;0;0;0;0;33;"-19.94423495594313";"-43.92287566513478";"612717.59";"7794328.2";33;"1030-90037"
"90038";"1030";"5";"1";"AFONSO PENA, AVE";"3880";9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"-19.9443445420677";"-43.9230546748756";"612698.78";"7794316.19";1;"1030-90038"
"90039";"1030";"5";"1";"AFONSO PENA, AVE";"4114";10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;4;"-19.9463132953853";"-43.921833925675";"612825.14";"7794097.48";4;"1030-90039"
"90040";"1030";"5";"1";"AFONSO PENA, AVE";"4171";13;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;11;21;5;0;0;0;0;0;39;"-19.94664059569942";"-43.9213762814495";"612872.8";"7794060.95";39;"1030-90040"
"90042";"1030";"5";"1";"AFONSO PENA, AVE";"4318";11;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;6;"-19.9478006625787";"-43.9209016436641";"612921.65";"7793932.24";6;"1030-90042"
"90189";"1030";"5";"1";"DA BANDEIRA, PCA";"49";12;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;2;16;6;2;0;0;0;0;30;"-19.94867964594837";"-43.91980194648468";"613036.11";"7793834.22";30;"1030-90189"
