"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y"
"20002";"103";"1";"1";"ASSIMA HATEM BORJAILI, RUA";"452";39;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;"-19.9320564436856";"-43.910198026674";"614053.13";"7795667.49"
"20087";"103";"1";"1";"NISIO BATISTA DE OLIVEIRA, RUA";"295";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;"-19.9280421192324";"-43.9115796531305";"613911.4";"7796112.71"
"20090";"103";"1";"1";"NISIO BATISTA DE OLIVEIRA, RUA";"593";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;5;"-19.929743184613";"-43.9118368605362";"613883.26";"7795924.62"
"20202";"103";"1";"1";"CABRALIA, RUA";"171";22;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;"-19.934192756932";"-43.9182497444476";"613208.88";"7795436.5"
"20271";"103";"1";"1";"CASTELO NOVO, RUA";"37";42;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;"-19.9288177360437";"-43.9090167932303";"614179.09";"7796025.13"
"20537";"103";"1";"1";"DOUTOR ARGEMIRO RESENDE COSTA, RUA";"52";10;0;0;0;0;0;2;4;4;2;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;21;"-19.9307275073426";"-43.9096099024344";"614115.64";"7795814.17"
"20538";"103";"1";"1";"DOUTOR ARGEMIRO RESENDE COSTA, RUA";"65";40;0;0;0;0;0;0;0;0;2;0;2;0;5;0;0;0;0;2;0;0;0;0;0;0;11;"-19.9307579930327";"-43.9095421446706";"614122.71";"7795810.75"
"20541";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"349";20;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;5;"-19.9351771761864";"-43.9153593861855";"613510.69";"7795325.6"
"20542";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"455";19;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;"-19.9359348984475";"-43.9148272785516";"613565.84";"7795241.38"
"20546";"103";"1";"1";"DOUTOR JOSE SEVERINO LIMA JUNIOR, RUA";"105";8;0;0;0;0;0;1;2;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;11;"-19.9305817496905";"-43.9102556231993";"614048.16";"7795830.74"
"20648";"103";"1";"1";"EUCLASIO, RUA";"673";4;0;0;0;0;0;0;1;0;0;0;0;7;2;6;10;3;7;0;3;1;0;4;0;0;44;"-19.9256596888998";"-43.9104383116338";"614032.57";"7796375.61"
"20741";"103";"1";"1";"GREGORIO DE MATOS, RUA";"98";5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;2;0;0;5;"-19.9263943423641";"-43.911068331091";"613966.1";"7796294.73"
"21101";"103";"1";"1";"MEM DE SA, AVE";"1225";2;0;0;0;0;0;0;0;4;2;0;2;0;0;0;4;3;0;2;0;3;0;0;0;0;20;"-19.9262839751776";"-43.9085421518658";"614230.59";"7796305.23"
"21265";"103";"1";"1";"POUSO ALTO, RUA";"433";23;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;"-19.9333795489582";"-43.9207294983791";"612949.92";"7795528.17"
"21749";"103";"1";"1";"SAINT CLAIR VALADARES, RUA";"5";41;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;"-19.9295746390425";"-43.9088693362773";"614193.98";"7795941.26"
"21750";"103";"1";"1";"SAINT CLAIR VALADARES, RUA";"35";9;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;13;"-19.9296646645189";"-43.90949279818";"614128.66";"7795931.72"
"21754";"103";"1";"1";"ISAURO MASCARENHAS GUEDES, RUA";"210";37;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;"-19.9339412836089";"-43.9102033501117";"614051.22";"7795458.89"
"21755";"103";"1";"1";"ISAURO MASCARENHAS GUEDES, RUA";"322";38;0;0;0;0;0;0;0;0;0;0;0;0;7;0;4;0;0;0;0;0;0;0;0;0;11;"-19.9329315037272";"-43.9101048899493";"614062.25";"7795570.58"
"21756";"103";"1";"1";"ISAURO MASCARENHAS GUEDES, RUA";"325";12;0;0;0;0;0;5;17;0;10;12;13;10;7;4;0;0;2;4;3;0;4;0;0;0;91;"-19.9327954382204";"-43.9101800606683";"614054.48";"7795585.69"
"22208";"103";"1";"1";"SERENATA, RUA";"49";15;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;8;"-19.9361073053339";"-43.9110039784815";"613965.87";"7795219.71"
"22209";"103";"1";"1";"SERENATA, RUA";"115";14;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"-19.9353249009928";"-43.9098809499202";"614083.97";"7795305.54"
"22229";"103";"1";"1";"BELA VISTA, RUA";"54";16;0;0;0;0;0;0;5;4;10;10;0;0;0;0;4;0;0;0;3;0;0;0;0;0;36;"-19.9364926468025";"-43.911944090763";"613867.2";"7795177.7"
"22254";"103";"1";"1";"REGENCIA, RUA";"51";13;0;0;0;0;0;2;4;0;0;0;0;0;0;4;0;8;0;0;0;0;0;0;0;0;18;"-19.9345339839137";"-43.9095800589864";"614116.03";"7795392.87"
"22255";"103";"1";"1";"REGENCIA, RUA";"62";36;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;6;"-19.9344827635437";"-43.9095818436363";"614115.88";"7795398.54"
"22459";"103";"1";"1";"MARIA CARMEM VALADARES, RUA";"521";43;0;0;0;0;0;2;2;11;0;10;0;3;2;0;8;3;2;2;3;0;0;0;0;0;48;"-19.9275774050958";"-43.9093216730705";"614148.07";"7796162.61"
"22459";"103";"1";"1";"MARIA CARMEM VALADARES, RUA";"521";1;0;0;0;0;0;2;2;11;0;10;0;3;2;0;8;3;2;2;3;0;0;0;0;0;48;"-19.9275774050958";"-43.9093216730705";"614148.07";"7796162.61"
"22807";"103";"1";"1";"ANAPOLIS, RUA";"270";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;"-19.9260328264408";"-43.9092844046557";"614153.08";"7796333.53"
